,/'DataLog'/'Speed',/'DataLog'/'FrontBPS',/'DataLog'/'RearBPS',/'DataLog'/'Active_Regen_Flag ',/'DataLog'/'RegenStatus',/'DataLog'/'Regen_Flag',/'DataLog'/'Regen_Limit',/'DataLog'/'Rear_Bps_Value',/'DataLog'/'Front_BPS_Value',/'DataLog'/'Throttle',/'DataLog'/'Torque_Act',/'DataLog'/'Kalman_Filter_SOC',/'DataLog'/'STA_BrakeStatus ',/'DataLog'/'Vehicle_Speed',/'DataLog'/'Throttle(%)'
1.79,2329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,93.0,1.0,1.0,0.0
1.8,2302.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,93.0,1.0,1.0,100.0
1.81,2266.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,93.0,1.0,1.0,100.0
1.82,2254.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,-0.0,93.0,1.0,1.0,100.0
1.83,2239.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,-0.0,93.0,1.0,1.0,100.0
1.84,2210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,93.0,1.0,1.0,89.0
1.85,2166.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
1.86,2138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
1.87,2108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
1.8800000000000001,2066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,93.0,1.0,1.0,15.0
1.8900000000000001,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
